Date,Price,Open,High,Low,Change %
"Feb 15, 2024",3.368,3.553,3.553,3.352,-5.21%
"Feb 14, 2024",3.553,3.27,3.987,3.252,8.65%
"Feb 13, 2024",3.27,3.183,3.3,3.17,2.73%
"Feb 12, 2024",3.183,3.09,3.183,3.09,3.01%
"Feb 11, 2024",3.09,3.15,3.15,3.089,-1.90%
"Feb 10, 2024",3.15,3.156,3.156,3.096,-0.19%
"Feb 09, 2024",3.156,2.952,3.168,2.952,6.91%
"Feb 08, 2024",2.952,2.952,2.952,2.952,0.00%
"Feb 07, 2024",2.952,2.94,2.957,2.94,0.41%
"Feb 06, 2024",2.94,2.996,2.996,2.939,-1.87%
"Feb 05, 2024",2.996,2.996,2.996,2.996,0.00%
"Feb 04, 2024",2.996,3.04,3.04,2.996,-1.45%
"Feb 03, 2024",3.04,3.029,3.04,3.029,0.36%
"Feb 02, 2024",3.029,2.95,3.029,2.95,2.68%
"Feb 01, 2024",2.95,2.908,2.973,2.908,1.44%
"Jan 31, 2024",2.908,3.012,3.016,2.902,-3.45%
"Jan 30, 2024",3.012,3.011,3.012,2.938,0.03%
"Jan 29, 2024",3.011,2.941,3.011,2.941,2.38%
"Jan 28, 2024",2.941,2.973,3.013,2.941,-1.08%
"Jan 27, 2024",2.973,2.963,2.994,2.963,0.34%
"Jan 26, 2024",2.963,2.807,2.982,2.807,5.56%
"Jan 25, 2024",2.807,2.826,2.826,2.807,-0.67%
"Jan 24, 2024",2.826,2.826,2.826,2.826,0.00%
"Jan 23, 2024",2.826,2.903,3.045,2.712,-2.65%
"Jan 22, 2024",2.903,2.983,2.983,2.801,-2.68%
"Jan 21, 2024",2.983,2.965,3.055,2.953,0.61%
"Jan 20, 2024",2.965,2.932,3.068,2.906,1.13%
"Jan 19, 2024",2.932,3.027,3.143,2.872,-3.14%
"Jan 18, 2024",3.027,3.18,3.242,2.969,-4.81%
"Jan 17, 2024",3.18,3.22,3.257,3.178,-1.24%
"Jan 16, 2024",3.22,3.293,3.293,3.139,-2.22%
"Jan 15, 2024",3.293,3.247,3.403,3.098,1.42%
"Jan 14, 2024",3.247,3.2,3.477,3.095,1.47%
"Jan 13, 2024",3.2,3.161,3.264,3.135,1.23%
"Jan 12, 2024",3.161,3.337,3.382,3.106,-5.27%
"Jan 11, 2024",3.337,3.287,3.372,3.287,1.52%
"Jan 10, 2024",3.287,3.046,3.371,3.046,7.91%
"Jan 09, 2024",3.046,3.355,3.398,2.983,-9.21%
"Jan 08, 2024",3.355,3.224,3.633,3.224,4.06%
"Jan 07, 2024",3.224,3.363,3.446,3.201,-4.13%
"Jan 06, 2024",3.363,3.454,3.483,3.281,-2.63%
"Jan 05, 2024",3.454,3.474,3.526,3.329,-0.58%
"Jan 04, 2024",3.474,3.504,3.589,3.436,-0.86%
"Jan 03, 2024",3.504,4.195,4.335,3.385,-16.47%
"Jan 02, 2024",4.195,4.028,4.323,4.028,4.15%
"Jan 01, 2024",4.028,3.969,4.028,3.85,1.49%
"Dec 31, 2023",3.969,4.211,4.306,3.969,-5.75%
"Dec 30, 2023",4.211,4.337,4.482,4.211,-2.91%
"Dec 29, 2023",4.337,4.139,4.472,4.013,4.78%
"Dec 28, 2023",4.139,4.237,4.347,4.006,-2.31%
"Dec 27, 2023",4.237,4.318,4.389,4.175,-1.88%
"Dec 26, 2023",4.318,4.928,5.239,4.221,-12.38%
"Dec 25, 2023",4.928,6.29,7.398,4.587,-21.65%
