"Date","Price","Open","High","Low","Change %"
"Feb 15, 2024","7.060","7.070","7.070","7.040","0.14%"
"Feb 14, 2024","7.050","7.030","7.060","7.020","0.28%"
"Feb 13, 2024","7.030","7.030","7.050","7.010","0.14%"
"Feb 12, 2024","7.020","7.020","7.040","7.000","-0.14%"
"Feb 09, 2024","7.030","7.010","7.050","7.010","-0.14%"
"Feb 08, 2024","7.040","7.020","7.050","7.020","0.14%"
"Feb 07, 2024","7.030","7.020","7.060","7.020","-0.28%"
"Feb 06, 2024","7.050","7.010","7.050","7.010","0.28%"
"Feb 05, 2024","7.030","7.000","7.050","7.000","0.14%"
"Feb 02, 2024","7.020","7.020","7.050","7.020","-0.28%"
"Feb 01, 2024","7.040","7.050","7.060","7.030","0.00%"
"Jan 31, 2024","7.040","7.010","7.050","7.010","0.00%"
"Jan 30, 2024","7.040","7.020","7.060","7.020","0.00%"
"Jan 29, 2024","7.040","7.050","7.060","7.020","0.14%"
"Jan 25, 2024","7.030","7.050","7.050","7.010","0.57%"
"Jan 24, 2024","6.990","6.980","7.010","6.980","0.00%"
"Jan 23, 2024","6.990","6.990","6.990","6.970","-0.14%"
"Jan 19, 2024","7.000","6.990","7.000","6.980","0.14%"
"Jan 18, 2024","6.990","6.990","7.000","6.970","0.58%"
"Jan 17, 2024","6.950","6.950","6.970","6.940","-0.29%"
"Jan 16, 2024","6.970","6.970","6.970","6.940","0.29%"
"Jan 15, 2024","6.950","6.950","6.970","6.930","0.00%"
"Jan 12, 2024","6.950","6.940","6.980","6.940","0.00%"
"Jan 11, 2024","6.950","6.960","6.960","6.940","-0.14%"
"Jan 10, 2024","6.960","6.950","6.980","6.950","0.00%"
"Jan 09, 2024","6.960","6.950","6.970","6.940","0.14%"
"Jan 08, 2024","6.950","6.940","6.970","6.940","0.29%"
"Jan 05, 2024","6.930","6.950","6.970","6.930","-0.43%"
"Jan 04, 2024","6.960","6.950","6.970","6.950","0.43%"
"Jan 03, 2024","6.930","6.920","6.960","6.890","0.00%"
"Jan 02, 2024","6.930","6.950","6.960","6.900","-0.14%"
"Jan 01, 2024","6.940","6.970","6.970","6.930","0.58%"
"Dec 29, 2023","6.900","6.960","6.960","6.900","-0.86%"
"Dec 28, 2023","6.960","6.960","6.970","6.940","-0.14%"
"Dec 27, 2023","6.970","6.960","7.000","6.950","-0.29%"
"Dec 26, 2023","6.990","6.960","6.990","6.950","0.29%"
"Dec 22, 2023","6.970","6.950","6.970","6.950","0.14%"
"Dec 21, 2023","6.960","6.970","6.970","6.950","-0.29%"
"Dec 20, 2023","6.980","6.960","6.980","6.960","0.43%"
"Dec 19, 2023","6.950","6.950","6.960","6.920","0.29%"
"Dec 18, 2023","6.930","6.940","6.970","6.920","0.58%"
"Dec 15, 2023","6.890","6.970","6.980","6.890","-1.43%"
"Dec 14, 2023","6.990","6.990","7.000","6.940","0.29%"
"Dec 13, 2023","6.970","6.950","6.980","6.950","0.00%"
"Dec 12, 2023","6.970","6.960","6.980","6.950","0.29%"
"Dec 11, 2023","6.950","6.950","6.980","6.950","-0.29%"
"Dec 08, 2023","6.970","6.970","6.980","6.960","-0.14%"
"Dec 07, 2023","6.980","6.980","6.980","6.970","0.14%"
"Dec 06, 2023","6.970","6.980","6.990","6.970","-0.14%"
"Dec 05, 2023","6.980","6.960","7.000","6.960","0.00%"
"Dec 04, 2023","6.980","6.990","6.990","6.960","0.00%"
"Dec 01, 2023","6.980","6.980","7.000","6.960","-0.14%"
"Nov 30, 2023","6.990","6.990","6.990","6.970","0.14%"
"Nov 29, 2023","6.980","6.970","6.980","6.940","0.43%"
"Nov 28, 2023","6.950","6.940","6.970","6.940","0.00%"
"Nov 24, 2023","6.950","6.960","6.970","6.940","0.00%"
"Nov 23, 2023","6.950","6.960","6.980","6.940","0.14%"
"Nov 22, 2023","6.940","6.940","6.950","6.930","-0.14%"
"Nov 21, 2023","6.950","6.930","6.950","6.920","0.00%"
"Nov 20, 2023","6.950","6.930","6.950","6.920","0.29%"
"Nov 17, 2023","6.930","6.930","6.950","6.920","0.00%"
"Nov 16, 2023","6.930","6.950","6.960","6.920","0.00%"
"Nov 15, 2023","6.930","6.940","6.950","6.910","-0.14%"
"Nov 13, 2023","6.940","6.940","6.950","6.920","0.00%"
"Nov 10, 2023","6.940","6.950","6.950","6.930","0.00%"
"Nov 09, 2023","6.940","6.940","6.950","6.930","0.14%"
"Nov 08, 2023","6.930","6.960","6.960","6.930","0.00%"
"Nov 07, 2023","6.930","6.920","6.950","6.920","0.00%"
"Nov 06, 2023","6.930","6.920","6.960","6.900","-0.29%"
"Nov 03, 2023","6.950","6.930","6.950","6.900","0.00%"
"Nov 02, 2023","6.950","6.950","6.950","6.920","0.29%"
"Nov 01, 2023","6.930","6.950","6.950","6.920","-0.14%"
