"Date","Price","Open","High","Low","Change %"
"Feb 15, 2024","8.248","8.252","8.252","8.245","-0.05%"
"Feb 14, 2024","8.252","8.262","8.262","8.252","-0.12%"
"Feb 13, 2024","8.262","8.288","8.288","8.262","-0.31%"
"Feb 12, 2024","8.288","8.302","8.302","8.286","-0.16%"
"Feb 09, 2024","8.301","8.319","8.319","8.301","-0.22%"
"Feb 08, 2024","8.319","8.333","8.333","8.316","-0.16%"
"Feb 07, 2024","8.333","8.332","8.333","8.332","0.01%"
"Feb 06, 2024","8.332","8.351","8.351","8.330","-0.24%"
"Feb 05, 2024","8.351","8.359","8.359","8.351","-0.08%"
"Feb 02, 2024","8.358","8.361","8.361","8.358","-0.02%"
"Feb 01, 2024","8.361","8.361","8.361","8.358","0.00%"
"Jan 31, 2024","8.361","8.398","8.398","8.360","-0.44%"
"Jan 30, 2024","8.398","8.438","8.438","8.397","-0.47%"
"Jan 29, 2024","8.438","8.436","8.438","8.436","0.03%"
"Jan 26, 2024","8.435","8.447","8.447","8.435","-0.14%"
"Jan 25, 2024","8.447","8.470","8.470","8.444","-0.27%"
"Jan 24, 2024","8.470","8.484","8.484","8.469","-0.17%"
"Jan 23, 2024","8.484","8.523","8.523","8.483","-0.46%"
"Jan 22, 2024","8.523","8.527","8.527","8.522","-0.04%"
"Jan 19, 2024","8.526","8.558","8.558","8.526","-0.37%"
"Jan 18, 2024","8.558","8.564","8.564","8.555","-0.06%"
"Jan 17, 2024","8.564","8.575","8.575","8.563","-0.14%"
"Jan 16, 2024","8.575","8.611","8.611","8.575","-0.41%"
"Jan 15, 2024","8.611","8.622","8.622","8.611","-0.11%"
"Jan 12, 2024","8.620","8.623","8.623","8.620","-0.02%"
"Jan 11, 2024","8.623","8.632","8.632","8.620","-0.10%"
"Jan 10, 2024","8.632","8.637","8.637","8.630","-0.06%"
"Jan 09, 2024","8.637","8.670","8.670","8.635","12.70%"
"Dec 21, 2023","7.663","7.707","7.707","7.663","-0.57%"
"Dec 20, 2023","7.707","7.749","7.749","7.707","-0.57%"
"Dec 19, 2023","7.752","7.868","7.868","7.749","-1.49%"
"Dec 18, 2023","7.869","7.868","7.869","7.868","0.02%"
"Dec 15, 2023","7.867","7.891","7.891","7.867","-0.30%"
"Dec 14, 2023","7.891","7.907","7.907","7.889","-0.20%"
"Dec 13, 2023","7.907","7.916","7.916","7.906","-0.11%"
"Dec 12, 2023","7.916","7.959","7.959","7.916","-0.55%"
"Dec 11, 2023","7.959","7.975","7.975","7.959","-0.18%"
"Dec 08, 2023","7.973","7.991","7.991","7.973","-0.23%"
"Dec 07, 2023","7.992","8.003","8.003","7.990","-0.14%"
"Dec 06, 2023","8.003","8.011","8.011","8.003","-0.09%"
"Dec 05, 2023","8.011","8.061","8.061","8.010","-0.61%"
"Dec 04, 2023","8.061","8.061","8.061","8.059","0.00%"
"Dec 01, 2023","8.061","8.064","8.064","8.061","-0.04%"
"Nov 30, 2023","8.064","8.067","8.067","8.061","-0.04%"
"Nov 29, 2023","8.067","8.080","8.080","8.066","-0.16%"
"Nov 28, 2023","8.080","8.118","8.118","8.078","-0.47%"
"Nov 27, 2023","8.118","8.079","8.118","8.079","0.50%"
"Nov 24, 2023","8.078","8.120","8.120","8.078","-0.52%"
"Nov 23, 2023","8.120","8.132","8.132","8.117","-0.14%"
"Nov 22, 2023","8.132","8.146","8.146","8.130","-0.18%"
"Nov 21, 2023","8.146","8.182","8.182","8.146","-0.44%"
"Nov 20, 2023","8.182","8.196","8.196","8.182","-0.15%"
"Nov 17, 2023","8.194","8.191","8.194","8.191","0.04%"
"Nov 16, 2023","8.191","8.200","8.200","8.189","-0.11%"
"Nov 15, 2023","8.200","8.215","8.215","8.200","-0.17%"
"Nov 14, 2023","8.215","8.245","8.245","8.214","-0.36%"
"Nov 13, 2023","8.245","8.255","8.255","8.243","-0.12%"
"Nov 10, 2023","8.255","8.245","8.255","8.245","0.12%"
"Nov 09, 2023","8.245","8.249","8.249","8.242","-0.05%"
"Nov 08, 2023","8.249","8.270","8.270","8.248","-0.25%"
"Nov 07, 2023","8.270","8.502","8.502","8.269","-2.73%"
"Nov 06, 2023","8.502","8.502","8.502","8.502","0.02%"
"Nov 03, 2023","8.500","8.500","8.500","8.500","0.04%"
"Nov 02, 2023","8.498","8.498","8.498","8.498","0.02%"
"Nov 01, 2023","8.496","8.496","8.496","8.496","0.01%"
