Date,Price,Open,High,Low,Chg%
"Feb 14, 2024",5000.62,4976.44,5002.52,4956.45,0.96%
"Feb 13, 2024",4953.17,4967.94,4971.30,4920.31,-1.37%
"Feb 12, 2024",5021.84,5026.83,5048.39,5016.83,-0.09%
"Feb 09, 2024",5026.61,5004.17,5030.06,5000.34,0.57%
"Feb 08, 2024",4997.91,4995.16,5000.40,4987.09,0.06%
"Feb 07, 2024",4995.06,4973.05,4999.89,4969.05,0.82%
"Feb 06, 2024",4954.23,4950.16,4957.77,4934.88,0.23%
"Feb 05, 2024",4942.81,4957.19,4957.19,4918.09,-0.32%
"Feb 02, 2024",4958.61,4916.06,4975.29,4907.99,1.07%
"Feb 01, 2024",4906.19,4861.11,4906.97,4853.52,1.18%
"Jan 31, 2024",4848.87,4899.19,4906.75,4845.54,-1.55%
"Jan 30, 2024",4924.97,4925.89,4931.09,4916.27,-0.06%
"Jan 29, 2024",4927.93,4892.95,4929.31,4887.40,0.76%
"Jan 26, 2024",4890.97,4888.91,4906.69,4881.47,-0.07%
"Jan 25, 2024",4894.16,4886.66,4898.15,4869.34,0.53%
"Jan 24, 2024",4868.55,4888.56,4903.68,4865.94,0.08%
"Jan 23, 2024",4864.60,4856.80,4866.48,4844.37,0.29%
"Jan 22, 2024",4850.43,4853.42,4868.41,4844.05,0.22%
"Jan 19, 2024",4839.81,4796.28,4842.07,4785.87,1.23%
"Jan 18, 2024",4780.94,4760.10,4785.79,4740.57,0.88%
"Jan 17, 2024",4739.21,4739.13,4744.23,4714.82,-0.50%
"Jan 16, 2024",4762.85,4772.35,4782.34,4747.12,-0.44%
"Jan 12, 2024",4783.83,4791.18,4802.40,4768.98,0.08%
"Jan 11, 2024",4780.24,4792.13,4798.50,4739.58,-0.07%
"Jan 10, 2024",4783.45,4759.94,4790.80,4756.20,0.57%
"Jan 09, 2024",4756.50,4741.93,4765.47,4730.35,-0.15%
"Jan 08, 2024",4763.54,4703.70,4764.54,4699.82,1.41%
"Jan 05, 2024",4697.24,4690.57,4721.49,4682.11,0.18%
"Jan 04, 2024",4688.68,4697.42,4726.78,4687.53,-0.34%
"Jan 03, 2024",4704.81,4725.07,4729.29,4699.71,-0.80%
"Jan 02, 2024",4742.83,4745.20,4754.33,4722.67,-0.57%
"Dec 29, 2023",4769.83,4782.88,4788.43,4751.99,-0.28%
"Dec 28, 2023",4783.35,4786.44,4793.30,4780.98,0.04%
"Dec 27, 2023",4781.58,4773.45,4785.39,4768.90,0.14%
"Dec 26, 2023",4774.75,4758.86,4784.72,4758.45,0.42%
"Dec 22, 2023",4754.63,4753.92,4772.94,4736.77,0.17%
"Dec 21, 2023",4746.75,4724.29,4748.71,4708.35,0.97%
"Dec 20, 2023",4701.19,4764.73,4778.01,4700.12,-1.41%
"Dec 19, 2023",4768.37,4743.72,4768.69,4743.72,0.59%
"Dec 18, 2023",4740.56,4725.58,4749.52,4725.58,0.45%
"Dec 15, 2023",4719.19,4714.23,4725.53,4704.69,-0.01%
"Dec 14, 2023",4719.55,4721.04,4738.57,4694.34,0.26%
"Dec 13, 2023",4707.09,4646.20,4709.69,4643.23,1.37%
"Dec 12, 2023",4643.70,4618.30,4643.93,4608.09,0.46%
"Dec 11, 2023",4622.44,4593.39,4623.71,4593.39,0.39%
"Dec 08, 2023",4604.37,4576.20,4609.23,4574.06,0.41%
"Dec 07, 2023",4585.59,4568.84,4590.92,4565.22,0.80%
"Dec 06, 2023",4549.34,4586.23,4590.74,4546.50,-0.39%
"Dec 05, 2023",4567.18,4557.25,4578.56,4551.68,-0.06%
"Dec 04, 2023",4569.78,4564.37,4572.37,4546.72,-0.54%
"Dec 01, 2023",4594.63,4559.43,4599.39,4554.71,0.59%
"Nov 30, 2023",4567.78,4554.87,4569.89,4537.24,0.38%
"Nov 29, 2023",4550.58,4571.84,4587.64,4547.15,-0.09%
"Nov 28, 2023",4554.89,4545.55,4568.14,4540.51,0.10%
"Nov 27, 2023",4550.43,4554.86,4560.52,4546.32,-0.20%
"Nov 24, 2023",4559.34,4555.84,4560.31,4552.80,0.06%
"Nov 22, 2023",4556.62,4553.04,4568.43,4545.05,0.41%
"Nov 21, 2023",4538.19,4538.77,4542.14,4525.51,-0.20%
"Nov 20, 2023",4547.38,4511.70,4557.11,4510.36,0.74%
"Nov 17, 2023",4514.02,4509.55,4520.12,4499.66,0.13%
"Nov 16, 2023",4508.24,4497.08,4511.99,4487.83,0.12%
"Nov 15, 2023",4502.88,4505.30,4521.17,4495.31,0.16%
"Nov 14, 2023",4495.70,4458.97,4508.67,4458.97,1.91%
"Nov 13, 2023",4411.55,4406.66,4421.76,4393.82,-0.08%
"Nov 10, 2023",4415.24,4364.15,4418.03,4353.34,1.56%
"Nov 09, 2023",4347.35,4391.41,4393.40,4343.94,-0.81%
"Nov 08, 2023",4382.78,4384.37,4391.20,4359.76,0.10%
"Nov 07, 2023",4378.38,4366.21,4386.26,4355.41,0.28%
"Nov 06, 2023",4365.98,4364.27,4372.21,4347.53,0.18%
"Nov 03, 2023",4358.34,4334.23,4373.62,4334.23,0.94%
"Nov 02, 2023",4317.78,4268.26,4319.72,4268.26,1.89%
"Nov 01, 2023",4237.86,4201.27,4245.64,4197.74,1.05%
