SBI Gold ETF (SBIG)

Date,Price,Open,High,Low,Volume,Chg%
"Feb 14, 2024","53.65","53.92","53.92","53.42","987.01K","-1.07%"
"Feb 13, 2024","54.23","55.90","55.90","54.06","1.03M","-0.06%"
"Feb 12, 2024","54.26","54.70","54.70","54.21","940.08K","-0.59%"
"Feb 09, 2024","54.58","56.20","56.20","54.53","223.62K","0.02%"
"Feb 08, 2024","54.57","56.35","56.35","54.53","265.43K","-0.26%"
"Feb 07, 2024","54.71","54.80","54.97","54.56","344.57K","0.29%"
"Feb 06, 2024","54.55","56.15","56.15","54.44","362.08K","0.04%"
"Feb 05, 2024","54.53","56.70","56.70","54.41","623.15K","-0.91%"
"Feb 02, 2024","55.03","55.50","55.50","54.87","364.41K","0.33%"
"Feb 01, 2024","54.85","55.97","55.97","54.65","591.04K","-0.04%"
"Jan 31, 2024","54.87","54.95","54.98","54.41","422.19K","-0.24%"
"Jan 30, 2024","55.00","54.31","56.48","54.31","924.96K","0.66%"
"Jan 29, 2024","54.64","54.70","54.77","54.32","7.21M","0.52%"
"Jan 25, 2024","54.36","56.20","56.20","54.26","276.58K","-0.38%"
"Jan 24, 2024","54.57","54.58","54.62","54.38","248.33K","0.02%"
"Jan 23, 2024","54.56","54.70","54.70","54.10","430.95K","0.13%"
"Jan 20, 2024","54.49","54.42","54.54","54.31","121.16K","-0.04%"
"Jan 19, 2024","54.51","54.82","54.82","54.24","425.21K","0.65%"
"Jan 18, 2024","54.16","54.18","54.19","53.93","478.62K","-0.17%"
"Jan 17, 2024","54.25","52.95","54.50","52.95","343.70K","-0.66%"
"Jan 16, 2024","54.61","54.99","54.99","54.60","244.92K","-0.38%"
"Jan 15, 2024","54.82","55.19","55.19","54.60","532.41K","0.51%"
"Jan 12, 2024","54.54","54.42","54.57","54.38","1.28M","0.22%"
"Jan 11, 2024","54.42","54.74","54.74","54.31","770.29K","-0.22%"
"Jan 10, 2024","54.54","56.25","56.25","54.26","548.47K","-0.16%"
"Jan 09, 2024","54.63","54.83","54.83","54.35","435.96K","0.28%"
"Jan 08, 2024","54.48","54.99","54.99","54.34","862.30K","-0.46%"
"Jan 05, 2024","54.73","55.15","55.15","54.56","721.22K","-0.24%"
"Jan 04, 2024","54.86","56.65","56.65","54.76","560.34K","-0.49%"
"Jan 03, 2024","55.13","55.40","55.49","54.03","789.03K","-0.83%"
"Jan 02, 2024","55.59","55.44","55.64","55.26","716.97K","0.51%"
"Jan 01, 2024","55.31","55.47","55.47","54.91","620.12K","0.47%"
"Dec 29, 2023","55.05","55.50","55.50","55.01","1.06M","-0.58%"
"Dec 28, 2023","55.37","56.07","56.07","55.18","10.52M","0.33%"
"Dec 27, 2023","55.19","55.01","55.23","54.97","331.41K","0.40%"
"Dec 26, 2023","54.97","53.05","55.13","53.05","520.31K","0.53%"
"Dec 22, 2023","54.68","56.05","56.05","54.46","253.70K","0.48%"
"Dec 21, 2023","54.42","55.90","55.90","54.22","183.39K","0.26%"
"Dec 20, 2023","54.28","52.45","54.50","52.45","453.02K","0.37%"
"Dec 19, 2023","54.08","54.07","54.24","53.96","402.12K","0.22%"
"Dec 18, 2023","53.96","54.34","54.34","52.80","526.98K","-0.83%"
"Dec 15, 2023","54.41","54.36","54.53","54.32","343.27K","0.17%"
"Dec 14, 2023","54.32","54.38","54.57","54.15","384.74K","1.72%"
"Dec 13, 2023","53.40","53.50","53.50","53.10","383.33K","-0.17%"
