"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2024","98.22","98.29","98.59","97.82","222.53K","0.17%"
"Feb 14, 2024","98.05","97.68","98.11","97.38","278.32K","0.81%"
"Feb 13, 2024","97.26","97.48","97.95","96.81","241.11K","-0.69%"
"Feb 12, 2024","97.94","97.85","98.05","97.58","138.73K","0.19%"
"Feb 09, 2024","97.75","97.58","98.24","97.45","170.99K","-0.39%"
"Feb 08, 2024","98.13","98.40","98.66","97.74","178.72K","-0.70%"
"Feb 07, 2024","98.82","98.75","98.75","98.22","208.49K","-0.12%"
"Feb 06, 2024","98.94","98.27","98.79","97.98","230.14K","0.97%"
"Feb 05, 2024","97.99","98.50","98.57","97.71","234.58K","-1.20%"
"Feb 02, 2024","99.18","100.03","100.20","98.78","249.46K","-1.58%"
"Feb 01, 2024","100.77","99.90","100.62","99.54","298.46K","0.59%"
"Jan 31, 2024","100.18","99.47","100.13","99.12","319.93K","1.16%"
"Jan 30, 2024","99.03","99.51","99.55","98.79","255.55K","-0.14%"
"Jan 29, 2024","99.17","98.72","99.31","98.57","-","0.69%"
"Jan 26, 2024","98.49","98.62","98.78","98.16","153.16K","-0.04%"
"Jan 25, 2024","98.53","98.08","98.59","97.57","217.13K","0.28%"
"Jan 24, 2024","98.25","98.49","98.76","97.81","284.79K","-0.27%"
"Jan 23, 2024","98.52","98.85","98.95","98.20","285.64K","-0.80%"
"Jan 22, 2024","99.31","99.08","99.45","98.85","-","0.38%"
"Jan 19, 2024","98.93","98.90","99.24","98.41","223.89K","0.11%"
"Jan 18, 2024","98.82","98.25","98.88","98.13","242.59K","0.39%"
"Jan 17, 2024","98.44","99.15","99.38","98.00","376.74K","-1.59%"
"Jan 16, 2024","100.03","99.91","100.34","99.71","221.72K","-0.12%"
"Jan 15, 2024","100.15","99.92","100.25","99.82","-","-0.08%"
"Jan 12, 2024","100.23","100.11","100.60","99.86","189.14K","0.36%"
"Jan 11, 2024","99.87","100.37","100.47","99.71","194.35K","-0.44%"
"Jan 10, 2024","100.31","100.38","100.62","100.01","183.36K","-0.08%"
"Jan 09, 2024","100.39","100.08","100.69","99.84","287.92K","-0.04%"
"Jan 08, 2024","100.43","100.01","100.55","99.76","191.83K","-0.27%"
"Jan 05, 2024","100.70","100.71","100.81","99.60","258.16K","-0.48%"
"Jan 04, 2024","101.19","101.63","101.93","100.64","295.53K","-0.35%"
"Jan 03, 2024","101.55","101.37","101.98","101.23","250.07K","-0.24%"
"Jan 02, 2024","101.79","102.00","102.14","101.08","224.22K","-0.87%"
"Dec 29, 2023","102.68","103.33","103.33","102.26","80.87K","-0.71%"
"Dec 28, 2023","103.41","103.90","103.92","103.07","117.22K","-0.28%"
"Dec 27, 2023","103.70","103.40","103.94","103.16","105.68K","0.48%"
"Dec 26, 2023","103.20","103.20","103.20","103.20","-","0.00%"
"Dec 22, 2023","103.20","103.13","103.31","102.80","56.88K","0.29%"
"Dec 21, 2023","102.90","102.99","103.40","102.50","187.64K","0.18%"
"Dec 20, 2023","102.71","102.91","103.08","102.50","163.88K","0.86%"
"Dec 19, 2023","101.83","101.71","102.05","101.38","200.43K","0.64%"
"Dec 18, 2023","101.18","101.25","101.88","100.94","-","0.12%"
"Dec 15, 2023","101.06","100.38","101.57","100.26","0.00K","0.78%"
"Dec 14, 2023","100.28","101.46","101.46","100.30","0.01K","0.22%"
"Dec 13, 2023","100.06","99.24","100.21","98.94","-","1.36%"
"Dec 12, 2023","98.72","98.35","98.94","98.34","-","1.24%"
"Dec 11, 2023","97.51","97.97","97.97","97.97","0.00K","-0.67%"
"Dec 08, 2023","98.17","98.46","98.51","97.43","186.42K","-0.48%"
"Dec 07, 2023","98.64","98.35","98.78","98.19","179.74K","-0.14%"
"Dec 06, 2023","98.78","98.10","98.97","97.66","251.22K","0.59%"
"Dec 05, 2023","98.20","96.95","98.32","96.67","235.73K","1.69%"
"Dec 04, 2023","96.57","96.83","96.97","96.29","-","-0.26%"
"Dec 01, 2023","96.82","96.44","97.04","96.25","216.58K","0.16%"
"Nov 30, 2023","96.67","97.61","97.68","96.10","299.96K","-0.91%"
"Nov 29, 2023","97.56","97.18","97.71","96.92","0.21K","0.72%"
"Nov 28, 2023","96.86","96.33","96.97","96.06","6.03K","0.56%"
"Nov 27, 2023","96.32","95.75","96.38","95.55","5.33K","0.82%"
"Nov 24, 2023","95.54","95.77","95.84","95.23","4.85K","-0.59%"
"Nov 23, 2023","96.11","96.73","96.96","95.90","2.71K","-0.74%"
"Nov 22, 2023","96.83","97.48","97.84","96.62","1.11K","-0.90%"
"Nov 21, 2023","97.71","97.40","97.67","96.94","21.32K","0.29%"
"Nov 20, 2023","97.43","97.08","97.18","96.83","0.93K","-0.14%"
"Nov 17, 2023","97.57","98.05","98.05","97.11","5.44K","0.01%"
"Nov 16, 2023","97.56","97.06","97.15","97.06","0.11K","0.87%"
"Nov 15, 2023","96.72","96.74","96.74","96.26","0.51K","-0.53%"
"Nov 14, 2023","97.24","95.52","96.87","95.52","4.11K","1.82%"
"Nov 13, 2023","95.50","95.23","95.23","95.23","1.30K","-0.12%"
"Nov 10, 2023","95.61","95.49","95.49","95.49","0.31K","-0.51%"
"Nov 09, 2023","96.10","95.74","95.74","95.60","0.16K","-0.31%"
"Nov 08, 2023","96.40","95.46","96.04","95.42","196.61K","0.43%"
"Nov 07, 2023","95.99","94.56","95.58","94.47","228.91K","0.93%"
"Nov 06, 2023","95.11","94.95","94.95","94.95","0.07K","-0.68%"
