Date,Price,Open,High,Low,Chg%
"Feb 14, 2024",1170.50,1186.25,1190.00,1168.25,-1.33%
"Feb 13, 2024",1186.25,1191.75,1197.50,1183.00,-0.57%
"Feb 12, 2024",1193.00,1183.75,1196.75,1182.50,0.80%
"Feb 09, 2024",1183.50,1195.00,1198.00,1181.50,-0.84%
"Feb 08, 2024",1193.50,1187.00,1204.75,1180.50,0.38%
"Feb 07, 2024",1189.00,1199.00,1202.00,1179.25,-0.88%
"Feb 06, 2024",1199.50,1196.00,1205.50,1193.75,0.27%
"Feb 05, 2024",1196.25,1190.00,1198.50,1179.50,0.65%
"Feb 02, 2024",1188.50,1203.25,1208.25,1186.75,-1.23%
"Feb 01, 2024",1203.25,1221.25,1221.75,1199.50,-1.55%
"Jan 31, 2024",1222.25,1218.75,1223.00,1206.75,0.29%
"Jan 30, 2024",1218.75,1193.75,1221.25,1187.75,2.05%
"Jan 29, 2024",1194.25,1210.75,1212.50,1191.50,-1.24%
"Jan 26, 2024",1209.25,1223.50,1230.75,1208.50,-1.12%
"Jan 25, 2024",1223.00,1240.00,1247.50,1215.50,-1.39%
"Jan 24, 2024",1240.25,1239.00,1246.00,1235.25,0.06%
"Jan 23, 2024",1239.50,1224.25,1240.50,1221.50,1.25%
"Jan 22, 2024",1224.25,1216.75,1225.75,1209.50,0.91%
"Jan 19, 2024",1213.25,1213.00,1227.00,1210.75,-0.02%
"Jan 18, 2024",1213.50,1206.00,1216.00,1201.00,0.64%
"Jan 17, 2024",1205.75,1227.25,1231.00,1205.00,-1.75%
"Jan 16, 2024",1227.25,1227.00,1237.75,1220.75,1.78%
"Jan 12, 2024",1205.75,1239.75,1240.25,1230.50,-2.07%
"Jan 11, 2024",1231.25,1234.00,1235.50,1231.50,0.20%
"Jan 10, 2024",1228.75,1241.50,1241.50,1230.50,-1.03%
"Jan 09, 2024",1241.50,1238.50,1243.00,1228.75,0.16%
"Jan 08, 2024",1239.50,1252.75,1252.75,1233.25,-0.82%
"Jan 05, 2024",1249.75,1261.25,1261.25,1250.25,-0.97%
"Jan 04, 2024",1262.00,1274.25,1274.25,1260.25,-0.59%
"Jan 03, 2024",1269.50,1271.50,1275.25,1268.00,-0.35%
"Jan 02, 2024",1274.00,1289.50,1289.50,1266.00,-1.51%
"Dec 29, 2023",1293.50,1304.75,1311.75,1292.25,-0.90%
"Dec 28, 2023",1305.25,1315.75,1324.25,1303.00,-0.87%
"Dec 27, 2023",1316.75,1310.50,1318.75,1303.00,0.27%
"Dec 26, 2023",1313.25,1299.75,1314.50,1296.00,1.04%
"Dec 22, 2023",1299.75,1296.75,1308.00,1294.00,0.19%
"Dec 21, 2023",1297.25,1309.50,1310.00,1295.00,-0.84%
"Dec 20, 2023",1308.25,1312.50,1321.75,1305.50,-0.32%
"Dec 19, 2023",1312.50,1326.50,1328.75,1309.50,-1.09%
"Dec 18, 2023",1327.00,1318.00,1328.00,1307.00,0.86%
"Dec 15, 2023",1315.75,1317.00,1320.50,1304.00,0.13%
"Dec 14, 2023",1314.00,1311.00,1319.25,1304.00,0.50%
"Dec 13, 2023",1307.50,1323.00,1323.50,1302.50,-1.23%
"Dec 12, 2023",1323.75,1337.25,1344.00,1320.50,-0.92%
"Dec 11, 2023",1336.00,1309.50,1338.50,1307.00,2.45%
"Dec 08, 2023",1304.00,1312.50,1330.75,1299.00,-0.59%
"Dec 07, 2023",1311.75,1296.00,1318.25,1292.00,1.25%
"Dec 06, 2023",1295.50,1309.25,1313.50,1293.75,-0.77%
"Dec 05, 2023",1305.50,1307.25,1315.25,1294.00,-0.06%
"Dec 04, 2023",1306.25,1322.50,1329.25,1303.50,-1.42%
"Dec 01, 2023",1325.00,1342.00,1343.50,1323.50,-1.32%
"Nov 30, 2023",1342.75,1347.00,1351.50,1339.25,-0.32%
"Nov 29, 2023",1347.00,1346.50,1352.00,1337.00,0.04%
"Nov 28, 2023",1346.50,1330.25,1350.00,1329.50,1.26%
"Nov 27, 2023",1329.75,1329.50,1339.00,1323.50,-0.08%
"Nov 24, 2023",1330.75,1354.50,1355.00,1329.50,-1.90%
"Nov 22, 2023",1356.50,1377.00,1378.50,1354.25,-1.51%
"Nov 21, 2023",1377.25,1365.50,1389.25,1364.00,0.73%
"Nov 20, 2023",1367.25,1339.25,1368.00,1327.00,2.01%
"Nov 17, 2023",1340.25,1360.00,1361.50,1336.75,-1.47%
"Nov 16, 2023",1360.25,1385.00,1387.75,1353.75,-1.79%
"Nov 15, 2023",1385.00,1389.00,1398.50,1379.50,1.19%
"Nov 14, 2023",1368.75,1372.00,1372.00,1358.50,0.05%
"Nov 13, 2023",1368.00,1335.00,1369.00,1333.75,2.59%
"Nov 10, 2023",1333.50,1328.00,1335.00,1325.25,0.43%
"Nov 09, 2023",1327.75,1351.00,1353.50,1326.50,-1.58%
"Nov 08, 2023",1349.00,1352.00,1368.75,1348.00,0.02%
"Nov 07, 2023",1348.75,1339.50,1366.00,1336.50,0.62%
"Nov 06, 2023",1340.50,1327.50,1345.25,1327.50,-0.83%
"Nov 03, 2023",1351.75,1327.00,1355.00,1326.25,1.77%
"Nov 02, 2023",1328.25,1315.25,1330.00,1315.00,0.86%
"Nov 01, 2023",1316.88,1311.88,1319.12,1304.50,0.49%
